Job ID,Job Category,Required Skills,Location Type,Experience (Years),Estimated Monthly Salary (BDT),Other Key Qualifications,Trend Ref. (Approx. Year)
140,WordPress/PHP Security Specialist,"Malware Removal, Vulnerability Patching, Firewall (Sucuri/Cloudflare), Code Auditing",Remote,3-6,"55,000 - 100,000",Niche role focused on securing highly prevalent PHP/CMS websites.,2018-Present
141,Technical Program Manager,"Program Governance, Portfolio Management, Risk Mitigation (Program Level), Stakeholder Communication",Hybrid,8+,"180,000 - 350,000","PMP/PgMP Certification, experience overseeing multiple dependent projects.",2018-Present
142,Big Data Engineer (Hadoop Ecosystem),"HDFS, MapReduce, Hive, Pig, Spark (Legacy/On-Premise Focus)",On-site,5-8,"100,000 - 200,000","Often found in large telecom, banking, or government data centers.",2015-2020
143,Data Visualization Specialist,"Tableau/Power BI/Looker, Data Storytelling, Dashboard Design, UX principles",Remote/Hybrid,3-6,"65,000 - 120,000",Focus on making complex data actionable for executives.,2020-Present
144,Senior Go (Golang) Developer,"High-performance API development, Microservices, Kubernetes deployment, Concurrency",Remote,5-8,"140,000 - 260,000",Highly valued for speed and efficiency in modern architecture.,2022-Present
145,Cloud Architect (Security Focus),"Security Group Management, IAM Policies, VPC Design, Compliance Automation",Hybrid/Remote,6+,"150,000 - 300,000","Cloud security certification (e.g., AWS Security Specialty).",2021-Present
146,IT Vendor Management Specialist,"SLA Negotiation, Performance Monitoring, Contract Lifecycle Management, Cost Control",On-site,4-7,"70,000 - 140,000",Crucial for large organizations relying on multiple external IT partners.,2017-Present
147,Junior Frontend Developer (React/Vue),"HTML5, CSS3, JavaScript (ES6), Basic Component Development, Git",On-site/Hybrid,1-2,"35,000 - 60,000",Focus on rapid prototyping and modular UI development.,2018-Present
148,Senior Python Developer (Backend),"Django Rest Framework, PostgreSQL/MySQL, Caching (Redis), Unit Testing",Remote/Hybrid,5-8,"110,000 - 220,000",Experienced in scaling applications and managing data pipelines.,2019-Present
149,Web Scraping Specialist,"Python (BeautifulSoup, Scrapy, Selenium), Proxy Management, Anti-bot techniques",Remote,2-4,"50,000 - 90,000","Used for market research, price monitoring, and data collection.",2017-Present
150,Business Analyst (FinTech),"Payment Gateways, Mobile Financial Services (MFS) processes, Regulatory Understanding",On-site/Hybrid,4-7,"80,000 - 150,000",Domain-specific expertise is highly valued.,2019-Present
151,IT Audit Manager,"Leading Audit Teams, Stakeholder Reporting, Risk Mapping, Regulatory Compliance",On-site,8+,"160,000 - 320,000","CISA certification, experience with national bank/govt audits.",2018-Present
152,Software Developer (C++),"C++, STL, Multithreading, Low-Latency Programming, Performance Optimization",Remote/Hybrid,4-8,"100,000 - 200,000","Niche role for trading systems, embedded, or high-speed applications.",2015-Present
153,Product Marketing Manager (SaaS),"Go-to-Market Strategy, Product Positioning, Sales Enablement, Competitor Analysis",Remote,4-7,"90,000 - 180,000","Strong written and verbal English, experience launching products globally.",2021-Present
154,Helpdesk Analyst (Trainee),"Basic IT troubleshooting, phone etiquette, logging tickets (L1 Support)",On-site,0-1,"18,000 - 28,000",Entry-level BPO/ITES service desk role.,2015-Present
155,Cloud Security Architect,"Enterprise security strategy, zero-trust models, large-scale deployment security",Remote,9+,"250,000 - 450,000+","CISSP, experience in defining security policy at the corporate level.",2022-Present
156,Mid-Level DevOps Engineer (Kubernetes),"Helm, Istio/Service Mesh, advanced CI/CD, scripting for automation",Remote/Hybrid,3-6,"90,000 - 180,000",CNCF certification (CKA/CKAD) a strong advantage.,2020-Present
157,Computer Graphics/Modeling Specialist (Non-Gaming),"AutoCAD, Revit, 3D Studio Max/Blender, Visualization for Architecture/Engineering",On-site,3-6,"50,000 - 90,000",Used in local construction and design tech firms.,2015-Present
158,Senior Systems Analyst (ERP),"Customizing/Configuring ERP modules (SAP/Oracle), Stakeholder Workshop Facilitation",On-site/Hybrid,6-10,"120,000 - 250,000","Deep expertise in one or more ERP modules (FI/CO, HR, etc.).",2017-Present
159,Digital Marketing Analyst,"GA4/Adobe Analytics, Data Cleansing, Report Generation, Attribution Modeling",Remote/Hybrid,2-4,"50,000 - 85,000",Focus on tracking campaign performance and user behavior.,2019-Present
160,Mobile App QA Engineer (Manual),"iOS/Android Testing, UI/UX Test Cases, Jira/Trello, Regression Testing",On-site/Hybrid,2-4,"40,000 - 70,000",Focus on device compatibility and user experience across platforms.,2017-Present
161,Software Development Manager (SDM),"Managing 2-3 engineering teams, Performance Reviews, Process Improvement (Agile/Scrum)",Hybrid,8+,"170,000 - 350,000+","Strong leadership, technical depth, and project execution focus.",2018-Present
162,Junior Full-Stack Developer (MERN),"Basic MERN stack, CRUD operations, Git, REST API consumption",On-site/Hybrid,1-2,"40,000 - 70,000",Eagerness to learn and contribute to both frontend and backend.,2019-Present
163,Artificial Intelligence (AI) Researcher,"Focus on NLP for Bangla language, Dataset Creation, Experimentation, Publications",On-site/Hybrid,4+ (or Master's),"100,000 - 200,000",Niche academic or industry R&D focused on the local language.,2022-Present
164,BPO Team Leader (Voice/Non-Voice),"Managing a team of 10-20 agents, Quality Assurance, Training, Shift Management",On-site,3-5,"50,000 - 90,000",Excellent coaching and performance management skills.,2015-Present
165,Senior Network Operations Center (NOC) Engineer,"Advanced Troubleshooting (L3), BGP/OSPF, Monitoring Tools (PRTG/Nagios), Incident Management",On-site (24/7 Shift),5-8,"100,000 - 190,000",Critical role in telecom and large ISP infrastructure.,2015-Present
166,Robotics Engineer (Industrial),"PLC Programming (Siemens/Allen-Bradley), SCADA Systems, Industrial Automation",On-site,3-6,"70,000 - 140,000",Niche in manufacturing/heavy industry IT.,2017-Present
167,Full-Stack Developer (PHP/Laravel),"Laravel Framework, Blade Templating, Eloquent ORM, MySQL, Vue.js/jQuery",Remote/Hybrid,3-6,"60,000 - 120,000",High demand due to Laravel's popularity in the local market.,2017-Present
168,Senior Technical Writer,"Structuring complex documentation, API Documentation (Swagger/OpenAPI), Style Guide Enforcement",Remote,5+,"80,000 - 150,000",Focus on documentation for external developers and global clients.,2020-Present
169,IT Project Manager (Govt. Projects),"Public Procurement Rules (PPR), Government Liaison, Project Reporting (Local Format), Legacy System Integration",On-site,5-10,"100,000 - 200,000",Requires deep understanding of local bureaucratic processes.,2015-Present
170,SAP Consultant (FICO/HR),"SAP Module Customization, Implementation, End-User Training, Post-Go-Live Support",On-site/Hybrid,5-9,"150,000 - 300,000+","Specialized, high-value consulting role for large enterprises.",2016-Present
171,Machine Learning Operations (MLOps) Engineer,"Kubeflow/MLflow, model versioning, pipeline orchestration, model deployment on cloud",Remote,4-7,"110,000 - 230,000",Bridging Data Science and DevOps for production-grade ML.,2022-Present (Highly Emerging)
172,iOS Developer (Swift/ SwiftUI),"Native iOS Development, Swift, Xcode, App Store Submission, MVVM/VIPER architecture",Remote/Hybrid,3-6,"80,000 - 160,000",High demand for premium mobile application development.,2017-Present
173,Android Developer (Kotlin),"Native Android Development, Kotlin, Android Studio, Material Design, Clean Architecture (e.g., MVVM)",Remote/Hybrid,3-6,"70,000 - 140,000",Preferred over Java for modern Android development.,2019-Present
174,Junior Penetration Tester,"Web Application Testing, Basic Vulnerability Scanning, Report Writing",On-site/Hybrid,1-3,"45,000 - 80,000",Entry point for cybersecurity specialization.,2020-Present
175,Database Developer (PL/SQL),"Writing Stored Procedures, Triggers, Functions, Query Optimization in Oracle/SQL Server",On-site/Hybrid,4-7,"75,000 - 150,000",Focus on back-end logic for transaction-heavy systems.,2015-Present
176,Chief Information Security Officer (CISO),"Security Strategy, Regulatory Compliance, Executive-level Risk Reporting, Budget Allocation",On-site,12+,"300,000 - 600,000+","Requires CISSP/CISM, leadership, and deep security expertise.",2020-Present (Top Tier)
177,Telecommunication Billing/Rating Specialist,"Mediation Systems, Tariff Configuration, Revenue Assurance, Fraud Management",On-site,5-9,"110,000 - 220,000",Highly specialized role within Mobile Network Operators.,2015-Present
178,Digital Accessibility Specialist (A11Y),"WCAG Compliance, Screen Reader Testing, Remediation of Web/Mobile interfaces",Remote,3-5,"60,000 - 110,000",Niche role for contracts requiring global compliance standards.,2021-Present
179,IT Procurement Analyst,"Market Research (IT Products), Pricing Analysis, Bid Evaluation, Supplier Performance Tracking",On-site,2-4,"40,000 - 70,000",Data-driven support for the Procurement Manager.,2018-Present
180,Full-Stack Developer (Python/Flask),"Python, Flask, Jinja Templating, SQLAlchemy, REST APIs",Remote/Hybrid,2-4,"50,000 - 90,000",Popular for small-to-medium web applications and rapid prototypes.,2017-Present
181,E-commerce Platform Architect (Senior),"Microservices for e-commerce, Headless Commerce (Commercetools/AEM), High Availability",Remote,8+,"200,000 - 400,000+",Designing systems for the largest local and international e-commerce players.,2020-Present
182,IT Trainer (Non-Technical Staff),"Microsoft Office Suite, Basic Cybersecurity Awareness, Corporate Software Training",On-site,3-6,"50,000 - 80,000",Focus on internal skill development and compliance training.,2015-Present
183,Network Consultant,"Client needs assessment, network design proposals, vendor selection, project oversight",Hybrid,7+,"150,000 - 300,000",Requires CCIE or equivalent expertise and client-facing skills.,2017-Present
184,Customer Support Engineer (SaaS),"Advanced product troubleshooting, API debugging, High-level client communication (email/chat)",Remote,2-4,"55,000 - 100,000",Technical support for a global software product.,2020-Present
185,Cloud DevOps (Monitoring & Logging),"ELK Stack (Elasticsearch, Logstash, Kibana), Prometheus/Grafana, Alerting Systems",Remote/Hybrid,3-6,"80,000 - 160,000",Specialized role for maintaining system observability.,2020-Present
186,AI/ML Data Labeler/Annotator,"Categorizing data (images, text, audio) accurately, QC of labeled data",On-site,0-1,"20,000 - 35,000",Entry-level role in AI development projects.,2021-Present
187,UX Researcher (Senior),"Leading user study design, establishing research repository, mentoring junior researchers",Remote/Hybrid,6+,"110,000 - 220,000",Strategic role focused on long-term product insights.,2022-Present
188,System Integrator (SI),"Integrating different software/hardware components, Middleware (MQ, Kafka), API Integration",On-site/Hybrid,5-9,"100,000 - 200,000",Crucial for large financial/telecom/government projects.,2015-Present
189,Senior Frontend Architect (JavaScript),"Defining micro-frontend strategy, Web performance budgets, Core JavaScript standards",Remote,8+,"180,000 - 350,000",Focusing on code structure and maintainability for large teams.,2022-Present
190,Business Analyst (HealthTech/EdTech),"Domain-specific regulatory knowledge, Workflow mapping (e.g., patient/student lifecycle)",Hybrid,3-6,"60,000 - 110,000",Growth in specific vertical SaaS products.,2020-Present
191,Customer Success Manager (Local Enterprise),"Onboarding local clients, usage tracking, product adoption, upselling/renewals",On-site/Hybrid,3-5,"60,000 - 110,000",Focused on the local corporate market for software solutions.,2018-Present
192,Game Tester (QA),"Finding bugs in games, detailed reporting, performance testing on devices",On-site/Remote,1-3,"30,000 - 55,000",Niche in the growing local and outsourcing mobile gaming sector.,2019-Present
193,Senior ERP Technical Consultant,"Coding customizations (ABAP/Java/C# for ERP), System Upgrades, Performance Tuning",On-site/Hybrid,6-10,"150,000 - 300,000",Requires deep coding expertise within a specific ERP system.,2017-Present
194,Digital Product Manager,"Product Roadmap, OKR setting, Cross-functional alignment, Prioritization (RICE/MoSCoW)",Hybrid,5-8,"100,000 - 200,000","Strategic role, requires data literacy and market sense.",2020-Present
195,Cloud Architect (Data Lake Focus),"S3/ADLS Gen2, Glue/Data Factory, Athena/Synapse, Security of Data at Rest/In Transit",Remote,7+,"180,000 - 350,000","Designing large-scale, cost-efficient data infrastructure.",2022-Present
196,Mid-Level QA Automation (API Focus),"Postman/SoapUI, REST API testing, Scripting (Python/Java), Continuous Integration",Remote/Hybrid,3-5,"60,000 - 110,000",Highly valued for testing backend services and microservices.,2020-Present
197,IT Legal/Compliance Officer,"Data Privacy (GDPR/Local Laws), Software Licensing, Contract Review (Legal aspect)",On-site,4-7,"90,000 - 170,000",Requires law degree or specialized legal training in IT.,2018-Present
198,Senior DevOps (CI/CD Pipeline Focus),"Jenkins/GitLab CI/CD, Spinnaker, Artifactory, Advanced Scripting (Groovy/Python)",Remote/Hybrid,5-8,"130,000 - 250,000",Focus on optimizing and securing the entire delivery process.,2020-Present
199,WebRTC Developer,"Real-time communication protocols, WebSocket, SIP/VoIP, JavaScript frameworks",Remote,3-6,"90,000 - 180,000",Niche role for video conferencing/telehealth/ed-tech platforms.,2020-Present
200,Academic R&D Engineer (Applied Science),"Translating academic research into commercial prototypes, C++/Python, Hardware Integration",On-site,4-7,"80,000 - 150,000",Bridging university research and industry application.,2016-Present
201,Director of Technology (VP Level),"Strategic Planning, Budgeting, IT Portfolio Management, Stakeholder Communication, Digital Transformation",On-site,15+,"350,000 - 650,000+","P&L responsibility, experience managing $1M+ budgets.",2018-Present
202,Full-Stack Developer (Python/Odoo ERP),"Python, PostgreSQL, XML, Odoo Framework, Accounting/Inventory knowledge",On-site/Hybrid,3-6,"70,000 - 130,000",Niche skill for local SMEs adopting open-source ERP.,2017-Present
203,Data Science Consultant (Industry Specific),"Domain expertise (e.g., Telecom Churn, Garments Demand Forecasting), Statistical Modeling",Remote/Hybrid,5-8,"120,000 - 240,000","Strong consulting and client-facing skills, project experience.",2021-Present
204,IT Manager (Small/Medium Enterprise),"Overall IT Ops, Basic Networking, Server Maintenance (Windows Server), Vendor Management",On-site,4-7,"60,000 - 110,000",Generalist role requiring diverse IT knowledge.,2015-Present
205,Senior Frontend Architect (CSS/Design Systems),"Advanced CSS/SASS/LESS, Tailwind/Bootstrap Customization, Component Library Management, Accessibility",Remote,6+,"120,000 - 230,000",Focus on visual consistency and maintainability across products.,2021-Present
206,Mid-Level C# Developer (WPF/Desktop),"C#, WPF/WinForms, MVVM, SQL Server, Interop with legacy systems",On-site,3-5,"55,000 - 95,000",Still used for internal tools in finance and manufacturing.,2015-2020
207,Telecommunication RAN Engineer (Radio Access Network),"2G/3G/4G/5G technology, Ericsson/Huawei/Nokia equipment, Drive Testing, Performance Optimization",On-site,4-7,"90,000 - 170,000",Specialized role within Mobile Network Operators (MNOs).,2015-Present
208,Digital Marketing Specialist (SEO/Content),"Keyword Research, On-Page SEO, Content Strategy (English/Bangla), WordPress",Remote/Hybrid,2-4,"45,000 - 80,000",Focus on organic traffic and content creation.,2017-Present
209,Senior QA Automation (Mobile),"Appium/Espresso/XCUITest, Cloud Device Farms (Sauce Labs/BrowserStack), CI/CD Integration",Remote/Hybrid,5-8,"100,000 - 190,000",Expertise in testing native iOS and Android apps automatically.,2021-Present
210,Business Development Manager (Global Outsourcing),"US/European Market Knowledge, Proposal Writing (RFP/RFQ), Contract Negotiation, English Fluency",Remote/Hybrid,5-9,"120,000 - 250,000 (Plus High Commission)",Focus on selling IT services to international clients.,2018-Present
211,Salesforce Administrator,"User Management, Security Settings, Workflow Rules/Process Builder (Flow), Customization",Remote/Hybrid,2-4,"60,000 - 100,000",Salesforce Administrator Certification.,2019-Present
212,Technical Trainer (Public Sector),"Conducting training on basic IT skills (e.g., MS Office, Internet usage) for government employees",On-site (Travel Required),3-6,"50,000 - 90,000",Ability to handle large groups and diverse technical backgrounds.,2015-Present
213,GIS Analyst/Surveyor,"Data Collection (GPS), Remote Sensing, Map Creation, ArcGIS Pro/QGIS",On-site (Field Work),2-4,"40,000 - 75,000","Used in infrastructure, development, and disaster management projects.",2016-Present
214,Azure Data Engineer,"Azure Data Factory, Databricks, Azure Synapse Analytics, Python/PySpark",Remote/Hybrid,4-7,"90,000 - 180,000",Focus on building scalable data platforms in the Azure cloud.,2021-Present
215,IT Security Policy & Governance Specialist,"Writing and enforcing internal security policies, risk assessment, vendor due diligence",On-site/Hybrid,5-8,"100,000 - 190,000",CISM/CRISC or similar governance certification.,2019-Present
216,Cloud Cost Optimization Specialist (FinOps),"Identifying cost savings in cloud infrastructure, Reservation/Savings Plan strategy, Reporting",Remote,3-5,"70,000 - 130,000",Requires deep knowledge of cloud provider billing models (AWS/Azure/GCP).,2022-Present
217,Legacy Backend Developer (Perl/CGI),"Perl scripting, older web frameworks, maintenance of very old systems",On-site,7+,"80,000 - 150,000",Highly niche maintenance role in telecom/government/finance.,2015-2017
218,Digital Product Owner (FinTech),"P&L ownership of a digital banking product, compliance adherence, API management",Hybrid,6-10,"150,000 - 300,000","Strong domain knowledge (banking/payment), CSPO.",2020-Present
219,Junior Business Analyst (ITES/BPO),"Client communication, gathering low-level requirements, documentation, Jira/Confluence",On-site/Hybrid,1-3,"35,000 - 60,000",Entry-level role supporting offshore projects.,2017-Present
220,Academic Counselor/Career Advisor (IT),"Guiding students on IT career paths, knowledge of in-demand skills and job market",On-site,3-6,"40,000 - 70,000",Found in IT training institutes and universities.,2015-Present
221,Lead DevOps (Microservices),"Service Mesh (Istio/Linkerd), Advanced Kubernetes architecture, Observability, Distributed Tracing",Remote,7+,"170,000 - 350,000+","Designing and maintaining highly complex, distributed systems.",2022-Present
222,Mobile App UI/UX Designer,"Figma, Mobile Design Guidelines (iOS/Android), Prototyping, Usability Testing (Mobile Focus)",Remote/Hybrid,3-5,"60,000 - 110,000",Specialized focus on designing engaging mobile experiences.,2019-Present
223,Senior Software Engineer (Go/gRPC),"Golang, gRPC, Protocol Buffers, High-throughput API development, Database Optimization",Remote,5-8,"130,000 - 250,000","High demand for high-performance, low-latency backends.",2022-Present
224,IT Procurement Officer (Hardware Focus),"Sourcing and purchasing desktops, laptops, peripherals, inventory management, warranty tracking",On-site,2-4,"40,000 - 70,000",Focus on internal logistics and IT asset management.,2015-Present
225,Cloud Networking Engineer,"AWS Transit Gateway/Direct Connect, Azure ExpressRoute, Cloud VPNs, Advanced TCP/IP in Cloud",Remote/Hybrid,5-8,"120,000 - 230,000",CCNA/CCNP combined with cloud-specific networking certs.,2020-Present
226,AI Ethicist/Governance Specialist,"AI policy development, bias detection, fairness, transparency, and accountability frameworks",Remote,4-7,"100,000 - 190,000","Highly specialized, emerging role in corporate governance.",2023-Present
227,Junior Frontend Developer (jQuery/Bootstrap),"Basic JavaScript, jQuery, AJAX, HTML/CSS, Legacy system maintenance",On-site,1-3,"30,000 - 50,000",Still used extensively for maintaining older enterprise applications.,2015-2018
228,Senior Data Engineer (Streaming),"Kafka/Kinesis, Flink/Spark Streaming, Real-time data processing, Scalable pipeline design",Remote,6+,"150,000 - 300,000+",Expertise in low-latency data ingestion and processing.,2022-Present
229,IT Security Awareness Trainer,"Developing and delivering phishing drills, training modules on cyber hygiene, compliance training",On-site/Hybrid,3-5,"60,000 - 110,000",Focus on minimizing human-related security risks.,2018-Present
230,Technical Writer (API Documentation),"OpenAPI/Swagger specification, Markdown, Postman documentation, Git",Remote,3-5,"60,000 - 110,000","Focus on clear, runnable documentation for developers.",2020-Present
231,E-commerce Category Manager (Tech Products),"Product Sourcing, Pricing Strategy, Inventory Forecasting, Vendor Negotiation (Local/Global)",On-site/Hybrid,4-7,"80,000 - 150,000",Crucial for large e-commerce marketplaces and retailers.,2017-Present
232,Full-Stack Developer (Vue.js/Go),"Vue.js, Go backend, PostgreSQL, REST API design, Deployment (Docker)",Remote/Hybrid,4-7,"90,000 - 180,000",Combining modern frontend with high-performance backend.,2022-Present
233,Cloud Migration Project Manager,"Managing transition schedules, vendor coordination, risk assessment for cloud move, budget tracking",Hybrid,6+,"140,000 - 280,000","PMP/Scrum Master, specialized in cloud transformation.",2020-Present
234,System Administrator (On-Premise Virtualization),"VMware ESXi/Hyper-V, SAN/NAS Storage, High Availability setup, Backup solutions (Veeam)",On-site,5-9,"100,000 - 190,000",Maintaining local data center infrastructure.,2015-2020
235,IT Consultant (Strategy & Architecture),"Enterprise Architecture (TOGAF), Technology Roadmapping, Feasibility Studies, CxO interaction",On-site/Hybrid,10+,"200,000 - 400,000+",High-level advisory role for major digital transformation.,2017-Present
236,AI/ML Platform Engineer,"Building internal platforms for ML experimentation and model serving, Docker, Kubernetes, Python",Remote,4-7,"110,000 - 220,000",Focus on empowering internal Data Science teams.,2022-Present
237,Cyber Threat Hunter,"EDR/SIEM analysis, analyzing malicious code, APT tracking, incident response (proactive)",Hybrid,5-8,"130,000 - 250,000","Advanced security role, requires deep forensics knowledge.",2022-Present
238,Full-Stack Developer (Django/React),"Python/Django, React, Redux, PostgreSQL, API development",Remote/Hybrid,3-6,"70,000 - 130,000",Popular stack for web applications and startups.,2018-Present
239,Senior Technical Support Engineer (L3),"Resolving highly complex, escalated issues, code-level debugging, reproducing environment failures",Remote,6+,"110,000 - 200,000",Requires developer-level skills in troubleshooting.,2019-Present
240,Business Continuity Analyst,"Analyzing business processes, identifying critical functions, developing recovery strategies, testing plans",On-site/Hybrid,4-7,"80,000 - 150,000",Focus on organizational resilience and risk management.,2018-Present
241,RPA Technical Lead,"Designing complex RPA solutions, code review, mentoring junior RPA developers, platform administration",Hybrid,5-8,"120,000 - 230,000",Leading the automation pipeline in large enterprises.,2021-Present
242,Sales Engineer (Cybersecurity),"Presenting security solutions (Firewalls, EDR), PoC execution, technical requirements gathering",On-site/Hybrid,4-7,"90,000 - 180,000 (Plus Bonus)",Requires both sales acumen and deep security product knowledge.,2020-Present
243,Data Analyst (HR/People Analytics),"HRIS data reporting, trend analysis (turnover, hiring), data visualization (Power BI/Tableau)",On-site/Hybrid,2-4,"50,000 - 90,000",Growth area in large local conglomerates and MNCs.,2019-Present
244,"Legacy ERP Technical Consultant (e.g., Baan/BPCS)","Maintenance, reporting, and customization of very old or niche ERP systems",On-site,8+,"130,000 - 250,000",Rare but high-pay niche for maintaining vital legacy infrastructure.,2015-2018
245,Cloud Architect (Serverless/Function-as-a-Service),"AWS Lambda/Azure Functions/GCP Cloud Functions, API Gateway, Cost-efficient design",Remote,5-8,"130,000 - 260,000","Focus on building scalable, pay-per-use applications.",2021-Present
246,IT Project Manager (Telecom),"Managing core network projects, vendor delivery, regulatory approvals, site coordination",On-site,7+,"150,000 - 300,000",Specialized PM role in Mobile Network Operators.,2015-Present
247,Junior Blockchain Developer (EVM),"Solidity (basic), Truffle/Hardhat, basic dApp frontend (React), Metamask integration",Remote,1-3,"60,000 - 110,000",Entry-level role in the fast-growing Web3/crypto space.,2022-Present
248,Full-Stack Developer (Java/Spring Boot/React),"Java, Spring Boot, Microservices, React, API Security, Docker",Remote/Hybrid,4-7,"100,000 - 200,000","Classic enterprise stack, still dominant in large-scale systems.",2018-Present
249,UX/Design System Manager,"Managing and evolving the centralized design system (Figma), component versioning, governance",Remote/Hybrid,6+,"110,000 - 220,000",Focus on maintaining efficiency and brand consistency across products.,2022-Present
250,Academic R&D Project Manager (ICT),"Managing grant proposals, coordinating research teams (University/Industry), publication strategy",On-site/Hybrid,6+,"100,000 - 180,000",Focus on leveraging government/foreign research grants.,2016-Present
251,Principal Engineer / Fellow,"Deep expertise in system scaling, Patent/Research contribution, Mentorship, Cross-functional leadership",On-site/Hybrid,12+,"300,000 - 600,000+","Highest technical rank, focus on long-term technological vision.",2020-Present
252,Full-Stack Developer (Svelte/SvelteKit),"Svelte, JavaScript/TypeScript, Node.js, API Integration, Performance Optimization",Remote,3-6,"80,000 - 150,000","Emerging frontend framework, popular in modern startups.",2023-Present
253,Data Analyst (Supply Chain/Logistics),"SQL, Excel (Advanced), Inventory Optimization, Forecasting, Logistics Software knowledge",On-site/Hybrid,3-5,"60,000 - 110,000","High demand in manufacturing, e-commerce, and import/export tech.",2018-Present
254,Hardware Engineer (PC/Server Assembly),"Component knowledge (CPU, GPU, RAM), Troubleshooting, BIOS configuration, Cable management",On-site,1-3,"25,000 - 45,000","Local computer shops, small IT support firms (Legacy role).",2015-2018
255,Cloud Architect (Multi-Cloud Strategy),"AWS, Azure, GCP core services, Hybrid Cloud integration, Vendor negotiation",Remote/Hybrid,8+,"200,000 - 400,000+",Strategic role defining cloud usage across an enterprise.,2022-Present
256,IT Project Manager (Agile/Scrum),"Certified Scrum Master (CSM), Iteration Planning, Conflict Resolution, Velocity Tracking",Hybrid/Remote,5-8,"100,000 - 200,000",Focus on delivering software using Agile practices.,2018-Present
257,Junior Android Developer (Java),"Java (Legacy), Android Studio, Basic SDK knowledge, UI implementation",On-site,1-2,"30,000 - 50,000",Maintenance of older apps or entry-level training position.,2015-2018
258,"IT Security Governance, Risk & Compliance (GRC) Analyst","ISO 27001, NIST, COBIT, Policy Auditing, Risk Register Maintenance",On-site/Hybrid,3-6,"80,000 - 150,000",Focus on formal compliance and regulatory adherence.,2020-Present
259,Web Designer (Basic Freelance),"Photoshop/Illustrator, basic HTML/CSS, client communication, quick mockups",Remote,1-3,"20,000 - 40,000","Low-budget client work, common in small agencies.",2015-2017
260,Business Analyst (Retail Tech),"Point of Sale (POS) systems, Inventory management, Customer Loyalty programs, process mapping",On-site/Hybrid,4-7,"75,000 - 140,000",Growth area driven by local retail chain digitalization.,2019-Present
261,Technical Marketing Engineer (TME),"Creating technical content (benchmarks, white papers), supporting sales with deep product knowledge",Remote/Hybrid,4-7,"90,000 - 180,000",Bridging engineering and marketing for complex products.,2021-Present
262,Senior C# Developer (.NET Framework),"ASP.NET Web Forms/MVC (Legacy), SQL Server, Windows Communication Foundation (WCF)",On-site,6-10,"100,000 - 200,000",Maintenance and modification of mission-critical older systems.,2015-2020
263,IT Asset Management Specialist (ITAM),"Software License Optimization, Hardware Inventory Tracking, Policy Enforcement, Auditing",On-site,3-6,"60,000 - 110,000",Focus on cost savings and compliance for large organizations.,2018-Present
264,Quantitative Developer (FinTech/Algo Trading),"Python/C++, time-series data, low-latency coding, statistical modeling, financial markets knowledge",Remote,4-7,"150,000 - 350,000+","Highly niche, high-pay role, often for international clients.",2022-Present
265,IT Training Manager,"Curriculum development, managing a team of trainers, P&L responsibility for the training department",On-site,6+,"90,000 - 170,000",Leading internal or external corporate training programs.,2017-Present
266,Cloud Architect (Disaster Recovery/BDR),"Designing cross-region failover, backup automation, recovery process documentation, testing",Remote/Hybrid,7+,"160,000 - 320,000",Specialized in high availability and business continuity in the cloud.,2021-Present
267,Salesforce Developer (Apex/Lightning),"Apex, Visualforce (Legacy), Lightning Web Components (LWC), Integrations",Remote/Hybrid,4-7,"100,000 - 200,000",Focus on custom development and complex features.,2020-Present
268,BPO Quality Assurance Analyst (Voice),"Call monitoring, adherence to scripts/policy, scoring agent performance, feedback delivery",On-site,2-4,"40,000 - 65,000",Essential for maintaining service quality in call centers.,2015-Present
269,Senior UX Writer / Content Strategist,"Information Architecture, Tone of Voice guidelines, microcopy, error messages, user journeys",Remote,4-7,"70,000 - 130,000",Focus on clarity and consistency in product language.,2021-Present
270,Technical Lead (Mobile),"Leading iOS/Android teams, architecture decision-making, code reviews, performance tuning (Mobile focus)",Remote/Hybrid,7+,"140,000 - 280,000",Specializing in mobile application development leadership.,2019-Present
271,IT Strategy Consultant (Govt. Focus),"Advising ministries/agencies on digitalization, technology adoption roadmaps, policy review",On-site,10+,"200,000 - 450,000+",High-level advisory for large public sector projects.,2017-Present
272,Full-Stack Developer (MEAN Stack - Legacy),"MongoDB, Express, Angular (Legacy versions), Node.js, JavaScript",Remote/Hybrid,4-7,"70,000 - 140,000",Common in the mid-to-late 2010s for full-stack apps.,2016-2020
273,Game Developer (Unity/C#),"Unity Engine, C#, Game Physics, Asset Integration, Mobile Game Optimization",Remote/Hybrid,3-6,"60,000 - 120,000",Growth in local and international mobile gaming studios.,2019-Present
274,Data Governance Manager,"Leading data quality initiatives, defining data stewards, managing master data management (MDM)",On-site/Hybrid,6+,"120,000 - 250,000",Essential for compliance and leveraging data as a corporate asset.,2021-Present
275,Cloud DevOps Engineer (Terraform/Infrastructure as Code),"Terraform, Ansible/Chef/Puppet, Azure/AWS deployment automation, State management",Remote/Hybrid,4-7,"100,000 - 200,000",Focus on automating and versioning cloud infrastructure.,2020-Present
276,Junior Business Development Executive (ITES),"Researching potential clients (US/EU), cold email/LinkedIn outreach, setting up initial meetings",Remote,1-3,"30,000 - 50,000 (Plus Small Commission)",Entry-level role for firms expanding international footprint.,2018-Present
